"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass"
"43","TGB015.2016","09/01/2016","Technology","Approved","False","True","TGB Technology Review","Sailpoint","Sailpoint","12/15/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Digital Security :: Identity & Access Management :: Identity Management (IdM)","","","","False","","False","","","","Sailpoint | Sailpoint","No","62000","1200000","Digital Security :: Identity & Access Management"
"46","TGB014.2016","09/01/2016","Technology","No Decision (ITAG Informed Only)","False","True","TGB Technology Review","Streamsets","Streamsets Data Connector","12/15/2016","On-Premises Platform","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Complex Event Processing","","","","False","","False","","","","Streamsets | Streamsets Data Connector","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"37","TGB013.2016","09/01/2016","Technology","No Decision (ITAG Informed Only)","False","False","TGB Technology Review","Microsoft","Windows 10","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing :: Desktop Operating Systems","","","","False","","False","","","","Microsoft | Windows 10","No","0.0000","0.0000","End User Computing :: Endpoint Computing"
"28","TGB012.2016","09/08/2016","Technology","Approved","False","False","TGB Technology Review","Dell / Startech","New general purpose Desktop Hardware and docking solution","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing :: Desktop Hardware and Peripherals","","","","False","","False","","","","Dell / Startech | New general purpose Desktop Hardware and docking solution","No","0.0000","0.0000","End User Computing :: Endpoint Computing"
"31","TGB011.2016","08/18/2016","Technology","Approved","False","True","TGB Technology Review","Google","Chrome Browser","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Google | Chrome Browser","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools"
"35","TGB010.2016","08/18/2016","Technology","Approved","False","False","TGB Technology Review","Microsoft","Next Generation OneDrive Sync Client","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Microsoft | Next Generation OneDrive Sync Client","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools"
"36","TGB009.2016","08/18/2016","Technology","Approved","False","False","TGB Technology Review","Microsoft","OneDrive Univeral App","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Microsoft | OneDrive Univeral App","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools"
"48","TGB008.2016","08/18/2016","Technology","Approved","True","True","TGB Technology Review","Microsoft","Office 365 Yammer | Well-Centric Collaboration Tools","12/15/2016","Cloud Hosted Software as a Service (SaaS)","","Pilot (Small Production Sample)","Seeking Approval","False","Information Delivery :: Content Delivery :: Knowledge Management :: Business Social","","","","False","","False","","","","Microsoft | Office 365 Yammer | Well-Centric Collaboration Tools","No","0.0000","0.0000","Information Delivery :: Content Delivery"
"42","TGB007.2016","08/18/2016","Technology","Approved","False","True","TGB Technology Review","RedHat","Satellite Server 6.X","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Physical Infrastructure Management","","","","False","","False","","","","RedHat | Satellite Server 6.X","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"51","TGB006.2016","08/18/2016","Technology","Approved","True","True","TGB Technology Review","Puppet Labs","Puppet  w/Foreman console","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Cloud Management Platform :: Infrastructure Orchestration","","","","False","","False","","","","Puppet Labs | Puppet  w/Foreman console","Yes","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"49","TGB005.2016","08/18/2016","Technology","Approved","True","False","TGB Technology Review","Node.js Foundation","Node.js and npm","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Server Services :: Other Application Server Services","","","","False","","False","","","","Node.js Foundation | Node.js and npm","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"27","TGB004.2016","07/21/2016","Technology","Approved","False","False","TGB Technology Review","Cloudera","Impala ODBC Driver","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Cloudera | Impala ODBC Driver","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"50","TGB003.2016","07/21/2016","Technology","Approved","False","True","TGB Technology Review","Palo Alto Networks","Palo Alto Next Generation Firewall","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Digital Security :: Preventative Security :: Network Access Management & Control :: Network Firewall Security","","","","False","","False","","","","Palo Alto Networks | Palo Alto Next Generation Firewall","No","0.0000","0.0000","Digital Security :: Preventative Security"
"34","TGB002.2016","06/23/2016","Technology","Denied","False","True","TGB Technology Review","Jetbrains","TeamCity","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Jetbrains | TeamCity","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"47","TGB001.2016","06/23/2016","Technology","Approved","False","False","TGB Technology Review","Devon","Attribute Assisted Seismic Processing & Interpretation (AASPI)","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Infrastructure :: Datacenter Computing :: Grid Computing","","","","False","","False","","","","Devon | Attribute Assisted Seismic Processing & Interpretation (AASPI)","No","0.0000","0.0000","Infrastructure :: Datacenter Computing"
"19","AIGB009.2017","02/08/2017","Application","Approved","False","False","AIGB Application Review","GoAnimate","GoAnimate","12/15/2016","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Human Resources :: Employee Management :: Career Management","","Less than  25","False","","False","","","","GoAnimate | GoAnimate","No","0.0000","0.0000","Human Resources :: Employee Management"
"11","AIGB002.2017","01/12/2017","Application","Approved","True","False","AIGB Application Review","Schlumberger","Avocet","12/15/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Operations :: Production Optimization","","Not Known at this Time","True","","False","","","","Schlumberger | Avocet","No","0.0000","0.0000","Operations :: Production Optimization"
"10","AIGB003.2017","01/12/2017","Application","Approved","True","False","AIGB Application Review","BakerHughes","FieldPulse (pilot)","12/15/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Operations :: Production Optimization","","Not Known at this Time","True","","False","","","","BakerHughes | FieldPulse (pilot)","No","0.0000","0.0000","Operations :: Production Optimization"
"12","AIGB004.2017","01/12/2017","Application","Approved","True","False","AIGB Application Review","Energy Navigator","Value Navigator 2016 V2","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Reservoir Characterization","","Greater than 50","True","","False","","","","Energy Navigator | Value Navigator 2016 V2","No","0.0000","0.0000","Engineering :: Reservoir Characterization"
"58","TGB001.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","ThreatConnect","ThreatConnect","02/04/2017","Hybrid (Contains both cloud based and on premise components)","","Proof of Concept/Technology","Seeking Approval","False","Digital Security :: Preventative Security :: Threat Intelligence Analytics","","","","False","","False","","","","ThreatConnect | ThreatConnect","No","0.0000","0.0000","Digital Security :: Preventative Security"
"57","TGB002.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Demisto","Demisto Enterprise","02/04/2017","Hybrid (Contains both cloud based and on premise components)","","Proof of Concept/Technology","Seeking Approval","False","Digital Security :: Identity & Access Management :: Authorization","","","","False","","False","","","","Demisto | Demisto Enterprise","No","0.0000","0.0000","Digital Security :: Identity & Access Management"
"61","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Event Hub","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Complex Event Processing","","","","False","","False","","","","Microsoft | Azure Event Hub","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"13","AIGB005.2017","01/26/2017","Application","Approved","False","False","AIGB Application Review","FEI","PerGeos for Digital Rock and Core Analysis","12/15/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience :: Asset Exploration :: Geologic Modeling","","Not Known at this Time","False","","False","","","","FEI | PerGeos for Digital Rock and Core Analysis","No","24600","24600","Geoscience :: Asset Exploration"
"14","AIGB006.2017","01/26/2017","Application","Approved","False","True","AIGB Application Review","Devon","Inventory Management Tool","12/15/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Consultation/Guidance","False","","Engineering :: Reservoir Characterization","","Greater than 50","False","","False","","","","Devon | Inventory Management Tool","No","0.0000","0.0000","Engineering :: Reservoir Characterization"
"15","AIGB007.2017","01/26/2017","Application","Approved","False","False","AIGB Application Review","OfficeWork Software","OrgChart Now","12/15/2016","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Human Resources","","Less than  25","True","","False","","","","OfficeWork Software | OrgChart Now","No","11490","0.0000","Human Resources"
"17","AIGB010.2017","01/26/2017","Application","Approved","True","False","AIGB Application Review","Microsoft","Office 365 Video (Stream)","12/15/2016","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Seeking Approval","False","","Enterprise :: Data and Information Management :: Content Management","","Greater than 50","False","","False","","","","Microsoft | Office 365 Video (Stream)","No","0.0000","0.0000","Enterprise :: Data and Information Management"
"68","TGB004.2017","02/02/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Information Rights Management","02/04/2017","Cloud Hosted Software as a Service (SaaS)","","Pilot (Small Production Sample)","Seeking Approval","True","Digital Security :: Identity & Access Management :: Authorization :: Information Rights Management (IRM)","","","","False","","False","","","","Microsoft | Information Rights Management","No","0.0000","0.0000","Digital Security :: Identity & Access Management"
"67","TGB005.2017","02/02/2017","Technology","Approved","False","False","TGB Technology Review","Veracode","Veracode Application Security Software","02/04/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","True","Digital Security :: Preventative Security :: Host Access Management & Control :: Malware Protection","","","","False","","False","","","","Veracode | Veracode Application Security Software","No","45000","0.0000","Digital Security :: Preventative Security"
